,Unnamed: 0,totalpop,poverty_White,poverty_Black,poverty_AmerInd,poverty_Asian,poverty_NatHaw,poverty_Multi,poverty_Hisp,Name,Country,state,CountyName,StateName,white_rate,black_rate,amerind_rate,asian_rate,nathaw_rate,multi_rate,hisp_rate
14,14,2266899.0,215398.0,30263.0,5337.0,12761.0,2509.0,15655.0,234815.0,"Riverside County, California",65,6,Riverside County, California,9.501878998579118,1.334995515900797,0.23543175059850485,0.5629275940392581,0.11067983178783,0.6905909791305215,10.358423555703187
15,15,1450277.0,127115.0,40895.0,2780.0,38157.0,2924.0,19360.0,79849.0,"Sacramento County, California",67,6,Sacramento County, California,8.764877330330687,2.8198061473773635,0.1916875190049901,2.6310146268609382,0.2016166566800687,1.3349173985383482,5.5057757931760625
16,16,56888.0,6067.0,86.0,28.0,54.0,13.0,185.0,5012.0,"San Benito County, California",69,6,San Benito County, California,10.66481507523555,0.15117423709745464,0.049219519054985235,0.09492335817747152,0.022851919561243144,0.32520039375615245,8.810293910842356
17,17,2078586.0,222727.0,46933.0,4112.0,16128.0,883.0,15918.0,237748.0,"San Bernardino County, California",71,6,San Bernardino County, California,10.715313198491668,2.2579291884001917,0.19782679186716354,0.7759120863894975,0.04248080185279801,0.7658090644313008,11.437967926272956
18,18,3183143.0,303980.0,32054.0,3808.0,39421.0,2337.0,21635.0,209416.0,"San Diego County, California",73,6,San Diego County, California,9.549680928566515,1.006992145813116,0.11963018940713628,1.2384300673893696,0.07341800227008337,0.6796741459620256,6.578906445610517
19,19,829072.0,41089.0,13867.0,637.0,37975.0,845.0,5500.0,19664.0,"San Francisco County, California",75,6,San Francisco County, California,4.95602311982554,1.6725929714186465,0.0768328926800085,4.5804224482312765,0.1019211841673582,0.6633923229828049,2.3718084798425227
20,20,701050.0,65484.0,15004.0,1634.0,18724.0,741.0,10585.0,69394.0,"San Joaquin County, California",77,6,San Joaquin County, California,9.340845874046071,2.1402182440624777,0.23307895299907286,2.6708508665573065,0.10569859496469583,1.509878040082733,9.898580700378004
21,21,274184.0,31032.0,880.0,309.0,1721.0,8.0,1400.0,11621.0,"San Luis Obispo County, California",79,6,San Luis Obispo County, California,11.317947072039216,0.32095235316429843,0.11269804219064568,0.6276806815860881,0.0029177486651299853,0.5106060163977475,4.238394654684447
22,22,739837.0,28941.0,2665.0,456.0,11387.0,1019.0,2177.0,24179.0,"San Mateo County, California",81,6,San Mateo County, California,3.911807600863433,0.3602144796759286,0.06163519802334839,1.5391228067804126,0.1377330411969123,0.2942540045983102,3.2681523092248703
23,23,431555.0,46173.0,1566.0,1330.0,3859.0,46.0,2890.0,39623.0,"Santa Barbara County, California",83,6,Santa Barbara County, California,10.699215627208584,0.3628737936068404,0.3081878323736256,0.8942081542329483,0.01065912803698254,0.6696713049321639,9.181448482812156
