,poverty_White,poverty_Black,poverty_AmerInd,poverty_Asian,poverty_NatHaw,poverty_Multi,poverty_Hisp,Name,Country,state,CountyName,StateName
201,293.0,1545.0,0.0,15.0,0.0,13.0,149.0,"Calhoun County, Georgia",037,13,Calhoun , Georgia
202,3455.0,2715.0,5.0,74.0,0.0,242.0,343.0,"Camden County, Georgia",039,13,Camden , Georgia
203,1865.0,913.0,9.0,117.0,0.0,42.0,616.0,"Candler County, Georgia",043,13,Candler , Georgia
204,13669.0,5614.0,69.0,76.0,0.0,862.0,2830.0,"Carroll County, Georgia",045,13,Carroll , Georgia
205,7682.0,405.0,172.0,103.0,0.0,38.0,183.0,"Catoosa County, Georgia",047,13,Catoosa , Georgia
206,1334.0,738.0,0.0,12.0,0.0,0.0,0.0,"Charlton County, Georgia",049,13,Charlton , Georgia
207,19512.0,27524.0,182.0,1444.0,13.0,905.0,4779.0,"Chatham County, Georgia",051,13,Chatham , Georgia
208,462.0,133.0,0.0,88.0,0.0,55.0,66.0,"Chattahoochee County, Georgia",053,13,Chattahoochee , Georgia
209,4887.0,483.0,0.0,28.0,12.0,146.0,406.0,"Chattooga County, Georgia",055,13,Chattooga , Georgia
210,17199.0,2632.0,60.0,75.0,18.0,448.0,5976.0,"Cherokee County, Georgia",057,13,Cherokee , Georgia
211,24184.0,11352.0,19.0,1660.0,0.0,596.0,5503.0,"Clarke County, Georgia",059,13,Clarke , Georgia
212,205.0,1193.0,0.0,0.0,0.0,0.0,0.0,"Clay County, Georgia",061,13,Clay , Georgia
213,13127.0,42060.0,130.0,2013.0,6.0,1991.0,14254.0,"Clayton County, Georgia",063,13,Clayton , Georgia
214,980.0,1054.0,0.0,8.0,0.0,73.0,214.0,"Clinch County, Georgia",065,13,Clinch , Georgia
215,41981.0,33805.0,141.0,2898.0,73.0,2185.0,24574.0,"Cobb County, Georgia",067,13,Cobb , Georgia
216,5334.0,3184.0,61.0,116.0,0.0,95.0,2418.0,"Coffee County, Georgia",069,13,Coffee , Georgia
217,6065.0,5006.0,4.0,1.0,0.0,188.0,3707.0,"Colquitt County, Georgia",071,13,Colquitt , Georgia
218,7811.0,2931.0,61.0,650.0,32.0,452.0,1858.0,"Columbia County, Georgia",073,13,Columbia , Georgia
219,2100.0,1937.0,6.0,30.0,0.0,73.0,212.0,"Cook County, Georgia",075,13,Cook , Georgia
220,10205.0,5777.0,0.0,181.0,0.0,511.0,2097.0,"Coweta County, Georgia",077,13,Coweta , Georgia
221,1242.0,834.0,0.0,11.0,0.0,49.0,2.0,"Crawford County, Georgia",079,13,Crawford , Georgia
222,1676.0,5278.0,23.0,141.0,0.0,60.0,281.0,"Crisp County, Georgia",081,13,Crisp , Georgia
223,2008.0,3.0,0.0,0.0,44.0,33.0,56.0,"Dade County, Georgia",083,13,Dade , Georgia
224,3385.0,13.0,12.0,0.0,0.0,30.0,58.0,"Dawson County, Georgia",085,13,Dawson , Georgia
225,2425.0,4902.0,12.0,0.0,0.0,51.0,412.0,"Decatur County, Georgia",087,13,Decatur , Georgia
226,31459.0,82700.0,1064.0,9340.0,207.0,3412.0,22210.0,"DeKalb County, Georgia",089,13,DeKalb , Georgia
227,2020.0,1530.0,7.0,11.0,0.0,211.0,284.0,"Dodge County, Georgia",091,13,Dodge , Georgia
228,1318.0,2084.0,0.0,15.0,0.0,34.0,542.0,"Dooly County, Georgia",093,13,Dooly , Georgia
229,3999.0,24179.0,8.0,156.0,14.0,448.0,1109.0,"Dougherty County, Georgia",095,13,Dougherty , Georgia
230,9125.0,10299.0,85.0,439.0,0.0,680.0,2799.0,"Douglas County, Georgia",097,13,Douglas , Georgia
231,602.0,2197.0,0.0,0.0,0.0,19.0,45.0,"Early County, Georgia",099,13,Early , Georgia
232,930.0,24.0,0.0,44.0,0.0,21.0,551.0,"Echols County, Georgia",101,13,Echols , Georgia
233,3605.0,1812.0,0.0,0.0,21.0,153.0,116.0,"Effingham County, Georgia",103,13,Effingham , Georgia
234,1939.0,1886.0,7.0,11.0,0.0,9.0,271.0,"Elbert County, Georgia",105,13,Elbert , Georgia
235,3089.0,3063.0,31.0,0.0,0.0,99.0,765.0,"Emanuel County, Georgia",107,13,Emanuel , Georgia
236,964.0,1106.0,0.0,0.0,0.0,31.0,796.0,"Evans County, Georgia",109,13,Evans , Georgia
237,4981.0,18.0,8.0,109.0,0.0,164.0,55.0,"Fannin County, Georgia",111,13,Fannin , Georgia
238,5698.0,2171.0,0.0,457.0,0.0,106.0,1508.0,"Fayette County, Georgia",113,13,Fayette , Georgia
