State,County,Value,Gender,Race/Ethnicity,Lat,Lng,Fast Food Count
TN,Decatur County,514.9,Overall,Overall,35.60537,-88.105695,20
AL,Washington County,514.9,Overall,Overall,31.414015,-88.206517,15
KY,Crittenden County,514.5,Overall,Overall,37.354022,-88.101244,16
OK,Jefferson County,514.3,Overall,Overall,34.116677,-97.832127,8
KY,Fulton County,513.7,Overall,Overall,36.549869,-89.171721,20
TX,Newton County,513.6,Overall,Overall,30.785381,-93.743083,15
GA,Appling County,513.2,Overall,Overall,31.748663,-82.283956,20
MS,Covington County,512.5,Overall,Overall,31.636097,-89.550188,20
MO,Oregon County,512.3,Overall,Overall,36.682092,-91.407238,7
SC,Dillon County,511.7,Overall,Overall,34.388342,-79.376134,20
MO,Henry County,511.7,Overall,Overall,38.387365,-93.797062,14
MO,Linn County,511.1,Overall,Overall,39.867826,-93.112724,7
KY,Robertson County,511.1,Overall,Overall,38.515514,-84.0611,20
AR,Little River County,511.0,Overall,Overall,33.702687,-94.225778,20
MO,Ripley County,511.0,Overall,Overall,36.648667,-90.867004,6
MO,Dunklin County,511.0,Overall,Overall,36.272906,-90.093484,20
KY,Fleming County,509.6,Overall,Overall,38.373011,-83.701749,20
TN,Benton County,509.4,Overall,Overall,36.071733,-88.067273,20
KY,Clay County,509.3,Overall,Overall,37.160854,-83.720176,20
VA,Covington City,509.1,Overall,Overall,37.777829,-79.994033,18
NC,Pasquotank County,507.9,Overall,Overall,36.309091,-76.314281,20
AL,Marshall County,507.7,Overall,Overall,34.373461,-86.301726,20
LA,Cameron Parish,507.5,Overall,Overall,29.880151,-93.157867,18
GA,Polk County,507.2,Overall,Overall,34.006536,-85.186583,20
AL,Lawrence County,506.9,Overall,Overall,34.524888,-87.309085,20
TX,Ector County,506.8,Overall,Overall,31.869514,-102.545049,20
OK,Carter County,506.7,Overall,Overall,34.255434,-97.279679,20
MD,Baltimore City,506.7,Overall,Overall,39.304605,-76.616905,20
AR,Woodruff County,506.1,Overall,Overall,35.189001,-91.23847,10
AR,Monroe County,506.0,Overall,Overall,34.677175,-91.19636,18
TN,DeKalb County,505.8,Overall,Overall,35.986147,-85.831626,20
OK,Johnston County,504.9,Overall,Overall,34.325251,-96.656077,16
MS,Jasper County,504.8,Overall,Overall,32.023617,-89.116585,20
LA,Acadia Parish,504.2,Overall,Overall,30.298859,-92.403758,20
MO,St. Francois County,503.6,Overall,Overall,37.809744,-90.473679,20
OK,Murray County,503.2,Overall,Overall,34.487935,-97.060622,20
MS,Coahoma County,501.5,Overall,Overall,34.23383,-90.601717,18
MS,Scott County,501.5,Overall,Overall,32.410787,-89.536181,13
TX,Mitchell County,501.3,Overall,Overall,32.306972,-100.919542,8
GA,Montgomery County,500.9,Overall,Overall,32.171092,-82.527126,20
IL,Pulaski County,500.9,Overall,Overall,37.229299,-89.125554,12
KY,Magoffin County,500.7,Overall,Overall,37.709604,-83.066054,20
MS,Benton County,500.3,Overall,Overall,34.82052,-89.179231,14
VA,Martinsville City,500.2,Overall,Overall,36.685579,-79.863774,20
KY,Hopkins County,499.7,Overall,Overall,37.307248,-87.545832,20
OK,Cherokee County,499.7,Overall,Overall,35.913362,-95.000315,20
SC,Union County,499.7,Overall,Overall,34.681456,-81.616454,20
VA,Emporia City,499.0,Overall,Overall,36.691681,-77.542357,20
AR,Sharp County,498.9,Overall,Overall,36.161901,-91.484333,14
MD,Allegany County,498.9,Overall,Overall,39.621406,-78.699366,20
GA,Chattooga County,498.5,Overall,Overall,34.473833,-85.342232,20
TX,Palo Pinto County,498.4,Overall,Overall,32.756222,-98.306908,18
AR,St. Francis County,497.6,Overall,Overall,35.023128,-90.743921,20
MS,Clay County,496.7,Overall,Overall,33.65729,-88.770796,20
KY,Menifee County,496.5,Overall,Overall,37.944864,-83.604534,20
FL,Holmes County,496.4,Overall,Overall,30.871516,-85.808912,20
VA,Hopewell City,496.1,Overall,Overall,37.295279,-77.293665,20
LA,Morehouse Parish,495.7,Overall,Overall,32.827629,-91.792882,20
