,County,State,Hospital Count
347,Calcasieu Parish,LA,20
348,Caldwell County,KY,1
349,Caldwell County,MO,9
350,Caldwell County,NC,15
351,Caldwell County,TX,17
352,Caldwell Parish,LA,1
353,Caledonia County,VT,16
354,Calhoun County,AL,20
355,Calhoun County,AR,14
356,Calhoun County,FL,1
357,Calhoun County,GA,4
358,Calhoun County,IA,3
359,Calhoun County,IL,20
360,Calhoun County,MI,20
361,Calhoun County,MS,1
362,Calhoun County,SC,20
363,Calhoun County,TX,2
364,Calhoun County,WV,2
365,California,CA,20
366,Callahan County,TX,20
367,Calloway County,KY,1
368,Calumet County,WI,1
369,Calvert County,MD,1
370,Cambria County,PA,20
371,Camden County,GA,3
372,Camden County,MO,7
373,Camden County,NC,7
374,Camden County,NJ,20
375,Cameron County,PA,17
376,Cameron County,TX,20
377,Cameron Parish,LA,20
378,Camp County,TX,5
379,Campbell County,KY,20
380,Campbell County,SD,4
381,Campbell County,TN,8
382,Campbell County,VA,13
383,Campbell County,WY,1
384,Camuy Municipio,PR,3
385,Canadian County,OK,1
386,Candler County,GA,1
387,Cannon County,TN,1
388,Canovanas Municipio,PR,1
389,Canyon County,ID,10
390,Cape Girardeau County,MO,14
391,Cape May County,NJ,1
392,Carbon County,MT,20
393,Carbon County,PA,17
394,Carbon County,WY,1
395,Caribou County,ID,1
396,Carlisle County,KY,12
397,Carlton County,MN,11
398,Carolina Municipio,PR,20
399,Caroline County,MD,20
400,Caroline County,VA,20
401,Carroll County,AR,2
402,Carroll County,GA,20
403,Carroll County,IA,1
404,Carroll County,IL,17
405,Carroll County,IN,4
406,Carroll County,KY,1
407,Carroll County,MD,1
408,Carroll County,MO,1
409,Carroll County,MS,3
410,Carroll County,NH,12
411,Carroll County,TN,7
412,Carroll County,VA,1
413,Carson City,NV,7
414,Carson County,TX,2
415,Carter County,KY,19
416,Carter County,MO,5
417,Carter County,MT,1
418,Carter County,OK,12
419,Carter County,TN,20
420,Carteret County,NC,1
421,Carver County,MN,20
422,Cascade County,MT,11
423,Casey County,KY,1
424,Cass County,IA,1
425,Cass County,IL,16
426,Cass County,IN,1
427,Cass County,MI,20
428,Cass County,MN,11
429,Cass County,MO,1
430,Cass County,ND,20
431,Cass County,NE,20
432,Cass County,TX,3
433,Cassia County,ID,1
434,Castro County,TX,2
435,Caswell County,NC,3
436,Catahoula Parish,LA,12
437,Catano Municipio,PR,20
438,Catawba County,NC,20
439,Catoosa County,GA,20
440,Catron County,NM,2
441,Cattaraugus County,NY,20
442,Cavalier County,ND,1
443,Cayey Municipio,PR,8
444,Cayuga County,NY,20
445,Cecil County,MD,1
446,Cedar County,IA,14
447,Cedar County,MO,1
448,Cedar County,NE,7
449,Ceiba Municipio,PR,20
450,Centre County,PA,17
451,Cerro Gordo County,IA,4
452,Chaffee County,CO,4
453,Chambers County,AL,10
454,Chambers County,TX,20
455,Champaign County,IL,20
456,Champaign County,OH,11
457,Chariton County,MO,3
458,Charles City County,VA,20
459,Charles County,MD,20
460,Charles Mix County,SD,8
461,Charleston County,SC,20
462,Charlevoix County,MI,1
463,Charlotte County,FL,6
464,Charlotte County,VA,14
465,Charlottesville City,VA,20
466,Charlton County,GA,20
467,Chase County,KS,6
468,Chase County,NE,1
469,Chatham County,GA,20
470,Chatham County,NC,4
471,Chattahoochee County,GA,20
472,Chattooga County,GA,8
473,Chautauqua County,NY,3
474,Chaves County,NM,20
475,Cheatham County,TN,1
476,Cheboygan County,MI,6
477,Chelan County,WA,19
478,Chemung County,NY,12
479,Cherokee County,AL,1
480,Cherokee County,GA,1
481,Cherokee County,IA,2
482,Cherokee County,KS,20
483,Cherokee County,NC,6
484,Cherokee County,OK,4
485,Cherokee County,SC,13
486,Cherokee County,TX,18
487,Cherry County,NE,3
488,Chesapeake City,VA,20
489,Cheshire County,NH,14
490,Chester County,PA,20
491,Chester County,SC,1
492,Chester County,TN,20
493,Chesterfield County,SC,4
494,Chesterfield County,VA,20
495,Cheyenne County,CO,1
496,Cheyenne County,KS,2
497,Cheyenne County,NE,1
498,Chickasaw County,IA,4
499,Chickasaw County,MS,20
500,Chicot County,AR,1
501,Childress County,TX,1
502,Chilton County,AL,2
503,Chippewa County,MI,1
504,Chippewa County,WI,8
505,Chisago County,MN,9
506,Chittenden County,VT,20
507,Choctaw County,AL,1
508,Choctaw County,MS,3
509,Choctaw County,OK,1
510,Chouteau County,MT,17
511,Chowan County,NC,1
512,Christian County,IL,7
513,Christian County,KY,6
514,Christian County,MO,20
